domain,revealId,inscriptionId,commitId,payer,feeKas
stp-bulk-0018.kas,6ee3ed953a1e01595c3cdcc2b3c9040a37156a2463ea93d0e0db2911e15f05c0,6ee3ed953a1e01595c3cdcc2b3c9040a37156a2463ea93d0e0db2911e15f05c0i0,d3fb9783d9f700df9e0e2559370d0db0b6591ac694794cc4c5540254c4f4aed8,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0019.kas,8d9619339e53f81ee9fe974564edd400c81ccd46dd9e606bd3d0b17e5a61ae47,8d9619339e53f81ee9fe974564edd400c81ccd46dd9e606bd3d0b17e5a61ae47i0,a5650191521f876b41368b2b010eb8c56920643b60a50de8bcf389c47661b72e,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0020.kas,1772d3759f677982bacadeeb8c4ae609c154de8fa85204c785a3e73c48e763b1,1772d3759f677982bacadeeb8c4ae609c154de8fa85204c785a3e73c48e763b1i0,3d40f6f49b0dbac7d0dc2594b2cc5fc1249257bd929966239ce24649dfeae5b9,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0021.kas,4b7e2067712ed3696b19b16366b9bb918c86f174567e8df613514da2afe993aa,4b7e2067712ed3696b19b16366b9bb918c86f174567e8df613514da2afe993aai0,cafdf5f67f469392336352fdc681781545b4a8c64b18eb524bd3f6ca43c1061f,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0022.kas,aac61044f7b95fcd88832bd5149ace2ca5ea8f2d55cc1ce7e847c57afe90f91b,aac61044f7b95fcd88832bd5149ace2ca5ea8f2d55cc1ce7e847c57afe90f91bi0,d258a1a42319fbba12748373772e6f7964dbefa9560f3620b652a76b9fc6e352,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0023.kas,ddc9f635dae51654953605f026e912bbb22d75bba65423c0ec1d88bfad443290,ddc9f635dae51654953605f026e912bbb22d75bba65423c0ec1d88bfad443290i0,5f817a4940ecc3dfc0130b509d8d7fdb36d427f163b2049bb315c5c94b77abd6,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0024.kas,a00cfe41608278b3fa17750168763cfc5519a8aebfd7e59f276881e5cc15759b,a00cfe41608278b3fa17750168763cfc5519a8aebfd7e59f276881e5cc15759bi0,e4571bc77d812eea77f570ab29bf0f10d4aa6eed8703c130c91cb0468478e33f,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0025.kas,69ace113507693418de19a8723b4b45af8b86db2350c9247c4c73804bdd5635e,69ace113507693418de19a8723b4b45af8b86db2350c9247c4c73804bdd5635ei0,ba5b1ae2ab1a331c56a0bc44d133bab76688e5f1772cd6859aec97556b61b901,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0026.kas,21dd189048b32bbc61ca3deed6a9dd696074f9c618786074fc303d14289cbe70,21dd189048b32bbc61ca3deed6a9dd696074f9c618786074fc303d14289cbe70i0,d6d260a6a16d20ffdbeae2e215dd51d6ee1495ab002721e8808f742e657729bd,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
stp-bulk-0027.kas,ac0ba1f674ae2e623bb09c29f4e12bb8560bf695264cb82f9e3ecda9afeded90,ac0ba1f674ae2e623bb09c29f4e12bb8560bf695264cb82f9e3ecda9afeded90i0,a93401719ee14e05e73e94127e3f188c6b779fa00cba636bcd1c8b8752a64510,kaspatest:qz46xwjp2stquq20xjzguqg4wyqz0g08d3clr26tlkzcrvfv0j3nxmkaknsdd,35
